MRELOV(0) ---> MRELSA(0)	Support:13.63793	Confidence:67.68968	Lift:1.609842	Leverage:0.05166333
MFALLEEN(1) ---> MBERZELF(0)	Support:12.02336	Confidence:73.60673	Lift:1.027424	Leverage:0.003209229
MFALLEEN(2) ---> MBERZELF(0)	Support:13.0024	Confidence:60.70569	Lift:0.8473473	Leverage:-0.02342431
MFALLEEN(0) ---> MBERBOER(0)	Support:25.36929	Confidence:84.06375	Lift:1.171981	Leverage:0.03722781
MFALLEEN(1) ---> MBERBOER(0)	Support:10.59773	Confidence:64.87907	Lift:0.9045162	Leverage:-0.01118732
MFALLEEN(2) ---> MBERBOER(0)	Support:12.6417	Confidence:59.02165	Lift:0.8228545	Leverage:-0.02721526
MFGEKIND(2) ---> MBERZELF(0)	Support:13.10546	Confidence:71.98113	Lift:1.004733	Leverage:0.0006173647
MFGEKIND(3) ---> MBERZELF(0)	Support:18.00069	Confidence:69.95995	Lift:0.9765208	Leverage:-0.004328044
MFGEKIND(4) ---> MBERZELF(0)	Support:15.88801	Confidence:63.57388	Lift:0.8873823	Leverage:-0.02016348
MFGEKIND(2) ---> MBERBOER(0)	Support:12.9337	Confidence:71.03774	Lift:0.9903776	Leverage:-0.00125662
MFGEKIND(3) ---> MBERBOER(0)	Support:16.09413	Confidence:62.55007	Lift:0.8720462	Leverage:-0.02361463
MFGEKIND(4) ---> MBERBOER(0)	Support:17.10752	Confidence:68.45361	Lift:0.9543508	Leverage:-0.008182989
MFWEKIND(3) ---> MBERZELF(0)	Support:12.281	Confidence:73.48407	Lift:1.025711	Leverage:0.003078475
MFWEKIND(4) ---> MBERZELF(0)	Support:12.40124	Confidence:63.50044	Lift:0.8863571	Leverage:-0.01590005
MFWEKIND(5) ---> MBERZELF(0)	Support:12.40124	Confidence:65.28029	Lift:0.9112008	Leverage:-0.01208537
MFWEKIND(6) ---> MBERZELF(0)	Support:10.40879	Confidence:77.39464	Lift:1.080296	Leverage:0.007736649
MFWEKIND(3) ---> MBERBOER(0)	Support:12.29818	Confidence:73.58684	Lift:1.025916	Leverage:0.003106708
MFWEKIND(4) ---> MBERBOER(0)	Support:11.40502	Confidence:58.3993	Lift:0.8141779	Leverage:-0.02602998
MFWEKIND(5) ---> MBERBOER(0)	Support:11.67984	Confidence:61.48282	Lift:0.8571671	Leverage:-0.01946254
MOPLHOOG(0) ---> MBERHOOG(0)	Support:20.11336	Confidence:54.54122	Lift:2.083589	Leverage:0.1046013
MBERHOOG(0) ---> MOPLHOOG(0)	Support:20.11336	Confidence:76.83727	Lift:2.083589	Leverage:0.1046013
MOPLHOOG(0) ---> MBERZELF(0)	Support:32.44589	Confidence:87.98323	Lift:1.228095	Leverage:0.06026198
MOPLHOOG(1) ---> MBERZELF(0)	Support:15.20096	Confidence:66.94402	Lift:0.9344237	Leverage:-0.01066779
MOPLHOOG(2) ---> MBERZELF(0)	Support:10.66644	Confidence:54.28322	Lift:0.7577005	Leverage:-0.03410942
MOPLHOOG(0) ---> MBERBOER(0)	Support:26.55445	Confidence:72.00745	Lift:1.003897	Leverage:0.00103081
MOPLHOOG(1) ---> MBERBOER(0)	Support:14.53109	Confidence:63.99395	Lift:0.8921762	Leverage:-0.01756153
MOPLHOOG(2) ---> MBERBOER(0)	Support:12.77911	Confidence:65.03497	Lift:0.9066896	Leverage:-0.01315141
MOPLLAAG(6) ---> MOPLMIDD(3)	Support:10.63209	Confidence:72.31308	Lift:3.165464	Leverage:0.07273309
MOPLLAAG(5) ---> MOPLMIDD(4)	Support:10.20268	Confidence:58.87017	Lift:2.403521	Leverage:0.05957791
MOPLMIDD(2) ---> MBERZELF(0)	Support:12.10924	Confidence:75.24013	Lift:1.050223	Leverage:0.005790796
MOPLMIDD(3) ---> MBERZELF(0)	Support:15.61319	Confidence:68.34586	Lift:0.9539909	Leverage:-0.007529926
MOPLMIDD(4) ---> MBERZELF(0)	Support:13.99863	Confidence:57.15288	Lift:0.797756	Leverage:-0.03548877
MOPLMIDD(3) ---> MBERBOER(0)	Support:14.89179	Confidence:65.18797	Lift:0.9088227	Leverage:-0.01494013
MOPLMIDD(4) ---> MBERBOER(0)	Support:18.1381	Confidence:74.0533	Lift:1.032419	Leverage:0.005695592
MOPLMIDD(5) ---> MBERBOER(0)	Support:10.46032	Confidence:82.52033	Lift:1.150463	Leverage:0.0136805
MOPLLAAG(5) ---> MBERZELF(0)	Support:10.7695	Confidence:62.14073	Lift:0.867378	Leverage:-0.01646655
MOPLLAAG(6) ---> MBERZELF(0)	Support:11.52525	Confidence:78.38785	Lift:1.09416	Leverage:0.009918254
MOPLLAAG(4) ---> MBERBOER(0)	Support:10.63209	Confidence:72.73796	Lift:1.014081	Leverage:0.001476353
MOPLLAAG(5) ---> MBERBOER(0)	Support:12.16077	Confidence:70.16848	Lift:0.9782589	Leverage:-0.002702645
MBERHOOG(0) ---> MBERZELF(0)	Support:23.13638	Confidence:88.38583	Lift:1.233714	Leverage:0.04382947
MBERHOOG(1) ---> MBERZELF(0)	Support:15.51013	Confidence:72.53012	Lift:1.012396	Leverage:0.001899091
MBERHOOG(2) ---> MBERZELF(0)	Support:13.99863	Confidence:59.75073	Lift:0.8340177	Leverage:-0.02785942
MBERHOOG(0) ---> MBERBOER(0)	Support:20.31948	Confidence:77.62467	Lift:1.08221	Leverage:0.01543565
MBERHOOG(1) ---> MBERBOER(0)	Support:12.95088	Confidence:60.56225	Lift:0.8443329	Leverage:-0.02387714
MBERHOOG(2) ---> MBERBOER(0)	Support:16.84988	Confidence:71.92082	Lift:1.002689	Leverage:0.0004519159
MBERZELF(0) ---> MBERBOER(0)	Support:54.75782	Confidence:76.43251	Lift:1.065589	Leverage:0.03370459
MBERBOER(0) ---> MBERZELF(0)	Support:54.75782	Confidence:76.341	Lift:1.065589	Leverage:0.03370459
MBERZELF(1) ---> MBERBOER(0)	Support:11.04431	Confidence:53.49418	Lift:0.7457929	Leverage:-0.03764509
MBERMIDD(2) ---> MBERZELF(0)	Support:16.62659	Confidence:64.92287	Lift:0.9062118	Leverage:-0.01720765
MBERMIDD(3) ---> MBERZELF(0)	Support:16.24871	Confidence:67.86227	Lift:0.9472408	Leverage:-0.009050179
MBERMIDD(4) ---> MBERZELF(0)	Support:10.78667	Confidence:65.89717	Lift:0.9198113	Leverage:-0.009403764
MBERMIDD(2) ---> MBERBOER(0)	Support:15.49296	Confidence:60.49631	Lift:0.8434136	Leverage:-0.0287639
MBERMIDD(3) ---> MBERBOER(0)	Support:17.09035	Confidence:71.37733	Lift:0.9951121	Leverage:-0.0008394579
MBERMIDD(4) ---> MBERBOER(0)	Support:12.9337	Confidence:79.01364	Lift:1.101574	Leverage:0.01192594
MRELSA(0) & MRELOV(0) ---> MFALLEEN(0)	Support:11.4909	Confidence:84.25693	Lift:4.494582	Leverage:0.08934286
MRELOV(0) & MFALLEEN(0) ---> MRELSA(0)	Support:11.4909	Confidence:65.84646	Lift:4.494582	Leverage:0.08934286
MRELSA(0) & MFALLEEN(0) ---> MRELOV(0)	Support:11.4909	Confidence:69.83299	Lift:4.494582	Leverage:0.08934286
MRELSA(0) & MRELOV(0) ---> MBERZELF(0)	Support:10.82102	Confidence:79.34509	Lift:1.782934	Leverage:0.04751802
MRELOV(0) & MBERZELF(0) ---> MRELSA(0)	Support:10.82102	Confidence:69.15477	Lift:1.782934	Leverage:0.04751802
MRELSA(0) & MRELOV(0) ---> MBERBOER(0)	Support:12.12642	Confidence:88.91688	Lift:1.995626	Leverage:0.0604992
MRELOV(0) & MBERBOER(0) ---> MRELSA(0)	Support:12.12642	Confidence:67.49522	Lift:1.995626	Leverage:0.0604992
MRELSA(1) & MRELOV(2) ---> MBERBOER(0)	Support:11.00996	Confidence:69.14779	Lift:1.459558	Leverage:0.03466609
MRELOV(2) & MBERBOER(0) ---> MRELSA(1)	Support:11.00996	Confidence:51.65189	Lift:1.459558	Leverage:0.03466609
MRELSA(0) & MFALLEEN(0) ---> MBERZELF(0)	Support:12.83064	Confidence:77.97495	Lift:1.411372	Leverage:0.03739745
MFALLEEN(0) & MBERZELF(0) ---> MRELSA(0)	Support:12.83064	Confidence:55.53903	Lift:1.411372	Leverage:0.03739745
MRELSA(0) & MFALLEEN(0) ---> MBERBOER(0)	Support:13.77533	Confidence:83.71608	Lift:1.513474	Leverage:0.0467354
MFALLEEN(0) & MBERBOER(0) ---> MRELSA(0)	Support:13.77533	Confidence:54.29926	Lift:1.513474	Leverage:0.0467354
MRELSA(0) & MOPLHOOG(0) ---> MBERHOOG(0)	Support:10.88973	Confidence:60.03788	Lift:2.682905	Leverage:0.06830796
MOPLHOOG(0) & MBERHOOG(0) ---> MRELSA(0)	Support:10.88973	Confidence:54.14176	Lift:2.682905	Leverage:0.06830796
MRELSA(0) & MBERHOOG(0) ---> MOPLHOOG(0)	Support:10.88973	Confidence:81.28205	Lift:2.682905	Leverage:0.06830796
MRELSA(0) & MOPLHOOG(0) ---> MBERZELF(0)	Support:16.48918	Confidence:90.90909	Lift:1.484335	Leverage:0.05380382
MOPLHOOG(0) & MBERZELF(0) ---> MRELSA(0)	Support:16.48918	Confidence:50.82054	Lift:1.484335	Leverage:0.05380382
MRELSA(0) & MOPLHOOG(0) ---> MBERBOER(0)	Support:12.6417	Confidence:69.69697	Lift:1.136628	Leverage:0.0151959
MRELSA(0) & MBERHOOG(0) ---> MBERZELF(0)	Support:12.24665	Confidence:91.41026	Lift:1.553093	Leverage:0.04361319
MBERHOOG(0) & MBERZELF(0) ---> MRELSA(0)	Support:12.24665	Confidence:52.93244	Lift:1.553093	Leverage:0.04361319
MRELSA(0) & MBERZELF(0) ---> MBERBOER(0)	Support:24.64789	Confidence:73.21429	Lift:1.140734	Leverage:0.03040837
MRELSA(0) & MBERBOER(0) ---> MBERZELF(0)	Support:24.64789	Confidence:80.07812	Lift:1.140734	Leverage:0.03040837
MRELSA(1) & MBERZELF(0) ---> MBERBOER(0)	Support:15.28684	Confidence:73.43234	Lift:0.8531742	Leverage:-0.02630768
MRELSA(1) & MBERBOER(0) ---> MBERZELF(0)	Support:15.28684	Confidence:68.93881	Lift:0.8531742	Leverage:-0.02630768
MRELSA(2) & MBERZELF(0) ---> MBERBOER(0)	Support:10.85538	Confidence:84.26667	Lift:1.144069	Leverage:0.01366986
MRELSA(2) & MBERBOER(0) ---> MBERZELF(0)	Support:10.85538	Confidence:73.83178	Lift:1.144069	Leverage:0.01366986
MRELOV(0) & MFALLEEN(0) ---> MBERZELF(0)	Support:13.20852	Confidence:75.68898	Lift:3.03222	Leverage:0.08852464
MFALLEEN(0) & MBERZELF(0) ---> MRELOV(0)	Support:13.20852	Confidence:57.17472	Lift:3.03222	Leverage:0.08852464
MRELOV(0) & MBERZELF(0) ---> MFALLEEN(0)	Support:13.20852	Confidence:84.41273	Lift:3.03222	Leverage:0.08852464
MRELOV(0) & MFALLEEN(0) ---> MBERBOER(0)	Support:15.44143	Confidence:88.48425	Lift:3.540575	Leverage:0.1108015
MFALLEEN(0) & MBERBOER(0) ---> MRELOV(0)	Support:15.44143	Confidence:60.86662	Lift:3.540575	Leverage:0.1108015
MRELOV(0) & MBERBOER(0) ---> MFALLEEN(0)	Support:15.44143	Confidence:85.94646	Lift:3.540575	Leverage:0.1108015
MRELOV(2) & MOPLHOOG(0) ---> MBERZELF(0)	Support:10.09962	Confidence:92.01878	Lift:1.267433	Leverage:0.02131057
MRELOV(0) & MBERZELF(0) ---> MBERBOER(0)	Support:13.92992	Confidence:89.02305	Lift:1.345447	Leverage:0.03576543
MRELOV(0) & MBERBOER(0) ---> MBERZELF(0)	Support:13.92992	Confidence:77.53346	Lift:1.345447	Leverage:0.03576543
MRELOV(2) & MBERZELF(0) ---> MBERBOER(0)	Support:16.62659	Confidence:81.27624	Lift:1.07274	Leverage:0.01127414
MRELOV(2) & MBERBOER(0) ---> MBERZELF(0)	Support:16.62659	Confidence:78.00161	Lift:1.07274	Leverage:0.01127414
MFALLEEN(0) & MOPLHOOG(0) ---> MBERZELF(0)	Support:12.98523	Confidence:82.98573	Lift:1.628629	Leverage:0.05012125
MFALLEEN(0) & MBERZELF(0) ---> MOPLHOOG(0)	Support:12.98523	Confidence:56.20818	Lift:1.628629	Leverage:0.05012125
MFALLEEN(0) & MOPLHOOG(0) ---> MBERBOER(0)	Support:12.17795	Confidence:77.82656	Lift:1.52555	Leverage:0.04195285
MFALLEEN(0) & MBERZELF(0) ---> MBERBOER(0)	Support:19.23738	Confidence:83.27138	Lift:1.240481	Leverage:0.03729374
MFALLEEN(0) & MBERBOER(0) ---> MBERZELF(0)	Support:19.23738	Confidence:75.82938	Lift:1.240481	Leverage:0.03729374
MFGEKIND(3) & MBERZELF(0) ---> MBERBOER(0)	Support:12.6417	Confidence:70.22901	Lift:0.9561141	Leverage:-0.005802577
MFGEKIND(3) & MBERBOER(0) ---> MBERZELF(0)	Support:12.6417	Confidence:78.54856	Lift:0.9561141	Leverage:-0.005802577
MFGEKIND(4) & MBERZELF(0) ---> MBERBOER(0)	Support:11.90313	Confidence:74.91892	Lift:0.9268596	Leverage:-0.009392999
MFGEKIND(4) & MBERBOER(0) ---> MBERZELF(0)	Support:11.90313	Confidence:69.57831	Lift:0.9268596	Leverage:-0.009392999
MOPLHOOG(0) & MBERHOOG(0) ---> MBERZELF(0)	Support:18.37856	Confidence:91.37489	Lift:2.657486	Leverage:0.1146279
MBERHOOG(0) & MBERZELF(0) ---> MOPLHOOG(0)	Support:18.37856	Confidence:79.43578	Lift:2.657486	Leverage:0.1146279
MOPLHOOG(0) & MBERZELF(0) ---> MBERHOOG(0)	Support:18.37856	Confidence:56.64373	Lift:2.657486	Leverage:0.1146279
MOPLHOOG(0) & MBERHOOG(0) ---> MBERBOER(0)	Support:15.78495	Confidence:78.47993	Lift:2.279725	Leverage:0.08860892
MBERHOOG(0) & MBERBOER(0) ---> MOPLHOOG(0)	Support:15.78495	Confidence:77.68385	Lift:2.279725	Leverage:0.08860892
MOPLHOOG(0) & MBERBOER(0) ---> MBERHOOG(0)	Support:15.78495	Confidence:59.44373	Lift:2.279725	Leverage:0.08860892
MOPLHOOG(0) & MBERZELF(0) ---> MBERBOER(0)	Support:23.85778	Confidence:73.53097	Lift:1.258966	Leverage:0.04907479
MOPLHOOG(0) & MBERBOER(0) ---> MBERZELF(0)	Support:23.85778	Confidence:89.84476	Lift:1.258966	Leverage:0.04907479
MOPLHOOG(1) & MBERZELF(0) ---> MBERBOER(0)	Support:10.32291	Confidence:67.9096	Lift:0.8846811	Leverage:-0.013456
MOPLHOOG(1) & MBERBOER(0) ---> MBERZELF(0)	Support:10.32291	Confidence:71.04019	Lift:0.8846811	Leverage:-0.013456
MOPLMIDD(3) & MBERZELF(0) ---> MBERBOER(0)	Support:10.9069	Confidence:69.85699	Lift:0.9291072	Leverage:-0.008322199
MOPLMIDD(3) & MBERBOER(0) ---> MBERZELF(0)	Support:10.9069	Confidence:73.24106	Lift:0.9291072	Leverage:-0.008322199
MOPLMIDD(4) & MBERZELF(0) ---> MBERBOER(0)	Support:12.12642	Confidence:86.62577	Lift:0.9634494	Leverage:-0.00460043
MOPLMIDD(4) & MBERBOER(0) ---> MBERZELF(0)	Support:12.12642	Confidence:66.85606	Lift:0.9634494	Leverage:-0.00460043
MBERHOOG(0) & MBERZELF(0) ---> MBERBOER(0)	Support:18.01786	Confidence:77.87676	Lift:1.339474	Leverage:0.04566415
MBERHOOG(0) & MBERBOER(0) ---> MBERZELF(0)	Support:18.01786	Confidence:88.67287	Lift:1.339474	Leverage:0.04566415
MBERHOOG(1) & MBERZELF(0) ---> MBERBOER(0)	Support:10.20268	Confidence:65.78073	Lift:0.9284549	Leverage:-0.007862004
MBERHOOG(1) & MBERBOER(0) ---> MBERZELF(0)	Support:10.20268	Confidence:78.77984	Lift:0.9284549	Leverage:-0.007862004
MBERHOOG(2) & MBERZELF(0) ---> MBERBOER(0)	Support:11.61113	Confidence:82.94479	Lift:0.9644419	Leverage:-0.004280925
MBERHOOG(2) & MBERBOER(0) ---> MBERZELF(0)	Support:11.61113	Confidence:68.90928	Lift:0.9644419	Leverage:-0.004280925
MBERBOER(0) & MBERMIDD(2) ---> MBERZELF(0)	Support:11.1989	Confidence:72.28381	Lift:0.8509689	Leverage:-0.01961276
MBERZELF(0) & MBERMIDD(2) ---> MBERBOER(0)	Support:11.1989	Confidence:67.35537	Lift:0.8509689	Leverage:-0.01961276
MBERBOER(0) & MBERMIDD(3) ---> MBERZELF(0)	Support:12.24665	Confidence:71.65829	Lift:0.9953378	Leverage:-0.0005736432
MBERZELF(0) & MBERMIDD(3) ---> MBERBOER(0)	Support:12.24665	Confidence:75.36998	Lift:0.9953378	Leverage:-0.0005736432
MRELSA(0) & MRELOV(0) & MFALLEEN(0) ---> MBERBOER(0)	Support:10.09962	Confidence:87.89238	Lift:5.507471	Leverage:0.08265818
MRELOV(0) & MFALLEEN(0) & MBERBOER(0) ---> MRELSA(0)	Support:10.09962	Confidence:65.40601	Lift:5.507471	Leverage:0.08265818
MRELSA(0) & MFALLEEN(0) & MBERBOER(0) ---> MRELOV(0)	Support:10.09962	Confidence:73.31671	Lift:5.507471	Leverage:0.08265818
MRELSA(0) & MRELOV(0) & MBERBOER(0) ---> MFALLEEN(0)	Support:10.09962	Confidence:83.28612	Lift:5.507471	Leverage:0.08265818
MRELSA(0) & MFALLEEN(0) & MBERZELF(0) ---> MBERBOER(0)	Support:10.78667	Confidence:84.06961	Lift:1.654217	Leverage:0.04265959
MFALLEEN(0) & MBERZELF(0) & MBERBOER(0) ---> MRELSA(0)	Support:10.78667	Confidence:56.07143	Lift:1.654217	Leverage:0.04265959
MRELSA(0) & MFALLEEN(0) & MBERBOER(0) ---> MBERZELF(0)	Support:10.78667	Confidence:78.30424	Lift:1.654217	Leverage:0.04265959
MRELSA(0) & MOPLHOOG(0) & MBERHOOG(0) ---> MBERZELF(0)	Support:10.35727	Confidence:95.11041	Lift:3.561765	Leverage:0.07449363
MOPLHOOG(0) & MBERHOOG(0) & MBERZELF(0) ---> MRELSA(0)	Support:10.35727	Confidence:56.35514	Lift:3.561765	Leverage:0.07449363
MRELSA(0) & MBERHOOG(0) & MBERZELF(0) ---> MOPLHOOG(0)	Support:10.35727	Confidence:84.57223	Lift:3.561765	Leverage:0.07449363
MRELSA(0) & MOPLHOOG(0) & MBERZELF(0) ---> MBERHOOG(0)	Support:10.35727	Confidence:62.8125	Lift:3.561765	Leverage:0.07449363
MRELSA(0) & MOPLHOOG(0) & MBERZELF(0) ---> MBERBOER(0)	Support:11.95465	Confidence:72.5	Lift:1.500312	Leverage:0.03986545
MOPLHOOG(0) & MBERZELF(0) & MBERBOER(0) ---> MRELSA(0)	Support:11.95465	Confidence:50.10799	Lift:1.500312	Leverage:0.03986545
MRELSA(0) & MOPLHOOG(0) & MBERBOER(0) ---> MBERZELF(0)	Support:11.95465	Confidence:94.56522	Lift:1.500312	Leverage:0.03986545
MRELOV(0) & MFALLEEN(0) & MBERZELF(0) ---> MBERBOER(0)	Support:11.59395	Confidence:87.77633	Lift:3.710649	Leverage:0.08469446
MFALLEEN(0) & MBERZELF(0) & MBERBOER(0) ---> MRELOV(0)	Support:11.59395	Confidence:60.26786	Lift:3.710649	Leverage:0.08469446
MRELOV(0) & MBERZELF(0) & MBERBOER(0) ---> MFALLEEN(0)	Support:11.59395	Confidence:83.23058	Lift:3.710649	Leverage:0.08469446
MRELOV(0) & MFALLEEN(0) & MBERBOER(0) ---> MBERZELF(0)	Support:11.59395	Confidence:75.08343	Lift:3.710649	Leverage:0.08469446
MFALLEEN(0) & MOPLHOOG(0) & MBERZELF(0) ---> MBERBOER(0)	Support:10.15115	Confidence:78.1746	Lift:1.775005	Leverage:0.04432209
MFALLEEN(0) & MBERZELF(0) & MBERBOER(0) ---> MOPLHOOG(0)	Support:10.15115	Confidence:52.76786	Lift:1.775005	Leverage:0.04432209
MFALLEEN(0) & MOPLHOOG(0) & MBERBOER(0) ---> MBERZELF(0)	Support:10.15115	Confidence:83.35684	Lift:1.775005	Leverage:0.04432209
MOPLHOOG(0) & MBERHOOG(0) & MBERZELF(0) ---> MBERBOER(0)	Support:14.23909	Confidence:77.47664	Lift:2.870473	Leverage:0.09278554
MBERHOOG(0) & MBERZELF(0) & MBERBOER(0) ---> MOPLHOOG(0)	Support:14.23909	Confidence:79.02765	Lift:2.870473	Leverage:0.09278554
MOPLHOOG(0) & MBERZELF(0) & MBERBOER(0) ---> MBERHOOG(0)	Support:14.23909	Confidence:59.68323	Lift:2.870473	Leverage:0.09278554
MOPLHOOG(0) & MBERHOOG(0) & MBERBOER(0) ---> MBERZELF(0)	Support:14.23909	Confidence:90.20675	Lift:2.870473	Leverage:0.09278554
